"TimeCreated","BugcheckCode","Message"
"2025-12-05 17:02:44","0x00000101","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000101 (0x0000000000000006, 0x0000000000000000, 0xfffff8061f5ad180, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 2376ef89-a145-4db2-8649-ee0c28e83c07."
"2025-12-05 17:44:20","0x000001ca","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000001ca (0x000000001c07a598, 0x00000005c3ad4cbc, 0x00000005c3b05a7f, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: d2173521-cbb8-4ca9-8f24-214457d4af91."
"2025-12-07 17:25:58","0x00000000","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000000 (0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: c26e3ac0-4398-4a3b-a3fb-f34ce1901dfb."
"2025-12-09 05:22:29","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xfffff806221eae70, 0xffffc0014fea1000, 0xfffff8068ff4da40). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 35dc1cec-90b1-4fb0-8c90-c04f4697e957."
"2025-12-10 05:05:43","0x00020001","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00020001 (0x0000000000000011, 0x00000000003a7445, 0x0000000000001005, 0xffffe70000205ee0). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: a6937047-52bd-4c9d-bb5d-df9513f22401."
"2025-12-27 03:42:12","0x00020001","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00020001 (0x0000000000000011, 0x000007d0a9e00000, 0x0000000000001005, 0xffffe70000005090). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: b7a3cba5-5081-4f94-bcf7-ee74b48e4ecb."
"2025-12-30 06:05:49","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffff8d0128d60e70, 0xffffe00fc9170f10, 0xfffff8047c960e50). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 3b9d870b-34d8-4835-b066-a79d85167296."
"2025-12-31 05:49:03","0x000000d1","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000000d1 (0x0000000000000021, 0x0000000000000009, 0x0000000000000000, 0xfffff80a32aa55ff). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: c23e31ad-fefa-4df4-ba92-003a2e2c79af."
"2025-12-31 05:52:05","0x000000d1","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000000d1 (0x0000000000007000, 0x00000000000000ff, 0x000000000000008d, 0x0000000000007000). A dump was saved in: C:\WINDOWS\Minidump\123125-16953-01.dmp. Report Id: 4f48ce0d-762b-4868-8977-15cf18355889."
"2026-01-01 05:55:15","0x0000001e","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000001e (0xffffffffc0000005, 0xfffff8047ecca3e0, 0x0000000000000000, 0xffffffffffffffff). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: b9b352f1-d7db-484b-ba89-3754ce016f54."
"2026-01-05 04:02:56","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffff80747068202, 0x0000000000000010, 0xfffff807c7068202, 0x0000000000000002). A dump was saved in: C:\WINDOWS\Minidump\010526-11203-01.dmp. Report Id: 8bcfac3d-696a-4ba3-a53d-6a09abc6a202."
"2026-01-06 01:15:27","0x0000000a","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000000a (0xffffd168a8800000, 0x000000000000000f, 0x0000000000000000, 0xfffff803772f613f). A dump was saved in: C:\WINDOWS\Minidump\010626-10578-01.dmp. Report Id: 84602171-cf06-44c7-83f1-c225a7ec6de8."
"2026-01-07 21:32:44","0x0000000a","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000000a (0x00000000a38caa00, 0x00000000000000ff, 0x000000000000009e, 0xfffff8047a5f603f). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 384d5ef9-a2ed-4e91-b97a-102eb69de72f."
