
name       source                                                    type
----       ------                                                    ----
where.exe  C:\Windows\System32\where.exe                             Application
bun        C:\Users\eldno\.bun\bin\bun.exe                           Application
uv         C:\Users\eldno\.local\bin\uv.exe                          Application
python     C:\Users\eldno\chthonic-archive\scripts\bin\python.cmd    Application
python3.13 C:\Users\eldno\.local\bin\python3.13.exe                  Application
python314  C:\Users\eldno\chthonic-archive\scripts\bin\python314.cmd Application
cargo      C:\Users\eldno\.cargo\bin\cargo.exe                       Application
rustc      C:\Users\eldno\.cargo\bin\rustc.exe                       Application
go         C:\Go\bin\go.exe                                          Application
ruby       C:\Ruby34-x64\bin\ruby.exe                                Application
gcc        C:\Ruby34-x64\msys64\ucrt64\bin\gcc.exe                   Application
g++        C:\Ruby34-x64\msys64\ucrt64\bin\g++.exe                   Application
bash       C:\Windows\System32\bash.exe                              Application
git        C:\Program Files\Git\cmd\git.exe                          Application



